,City Name,City ID,Latitude,Longitude,Maximum Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
63,Sao Gabriel da Cachoeira,4902,39.31,-74.98,294.82,88,90,2.27,US,1570163179
64,Sao Gabriel da Cachoeira,6734,45.18,8.4,284.26,93,0,3.1,IT,1570163322
65,Sao Gabriel da Cachoeira,9613,-33.18,138.01,310.15,13,100,7.7,AU,1570163323
66,Sao Gabriel da Cachoeira,7562,17.01,54.1,301.15,74,20,1.0,OM,1570163325
67,Sao Gabriel da Cachoeira,5211,44.25,-116.97,284.26,57,1,0.46,US,1570163326
68,Sao Gabriel da Cachoeira,9560,-37.83,140.78,286.15,82,90,4.1,AU,1570163331
69,Sao Gabriel da Cachoeira,3217,40.8,-124.16,284.82,93,1,1.5,US,1570163107
70,Sao Gabriel da Cachoeira,1596,62.23,-6.59,281.15,61,100,5.7,FO,1570163334
71,Sao Gabriel da Cachoeira,797,63.75,-68.52,273.15,74,20,9.8,CA,1570163336
72,Sao Gabriel da Cachoeira,6607,39.45,22.34,288.15,87,40,2.1,GR,1570163337
73,Sao Gabriel da Cachoeira,8434,-23.68,-45.44,288.15,87,0,1.5,BR,1570163338
74,Sao Gabriel da Cachoeira,20853,-44.49,171.21,290.37,59,98,2.24,NZ,1570163343
75,Sao Gabriel da Cachoeira,7254,23.05,-81.58,296.15,100,20,1.5,CU,1570163344
76,Sao Gabriel da Cachoeira,8767,6.8,-58.16,297.15,94,0,2.1,GY,1570163250
77,Sao Gabriel da Cachoeira,8027,33.93,134.5,301.15,51,40,6.7,JP,1570163347
78,Sao Gabriel da Cachoeira,5990,30.3,-99.24,299.15,64,1,3.94,US,1570163348
79,Sao Gabriel da Cachoeira,2003732,46.12,-70.67,278.71,90,100,1.05,CA,1570163351
80,Sao Gabriel da Cachoeira,935,55.74,-97.86,270.15,86,5,1.0,CA,1570163352
81,Sao Gabriel da Cachoeira,8926,59.7,30.79,276.48,93,90,4.0,RU,1570163353
82,Sao Gabriel da Cachoeira,8329,-20.25,-43.81,294.15,49,0,4.1,BR,1570163354
83,Sao Gabriel da Cachoeira,2061,-19.98,57.61,295.37,100,75,3.6,MU,1570163356
84,Sao Gabriel da Cachoeira,165,69.22,-51.1,282.15,34,100,8.7,GL,1570163357
85,Sao Gabriel da Cachoeira,7868,21.35,-158.09,301.48,65,40,3.6,US,1570163358
86,Sao Gabriel da Cachoeira,47,60.91,-46.05,283.15,31,100,7.2,GL,1570163360
87,Sao Gabriel da Cachoeira,5501,37.57,126.98,300.15,69,40,2.6,KR,1570163361
88,Sao Gabriel da Cachoeira,2019936,58.89,25.57,277.04,99,82,0.45,EE,1570163363
89,Sao Gabriel da Cachoeira,9537,-28.95,153.24,304.15,19,0,2.6,AU,1570163364
90,Sao Gabriel da Cachoeira,2145,-13.68,48.45,299.15,78,40,3.98,MG,1570163365
91,Sao Gabriel da Cachoeira,6452,45.6,-0.6,289.26,100,90,3.1,FR,1570163367
92,Sao Gabriel da Cachoeira,7103,16.86,-99.88,300.15,78,40,1.0,MX,1570163276
93,Sao Gabriel da Cachoeira,818,43.26,-79.87,287.04,100,75,2.6,CA,1570163103
94,Sao Gabriel da Cachoeira,9165,28.58,77.04,302.59,78,40,3.1,IN,1570163371
95,Sao Gabriel da Cachoeira,2017542,35.2,26.25,296.48,84,0,0.89,GR,1570163372
96,Sao Gabriel da Cachoeira,8491,-45.58,-72.07,280.15,52,0,3.1,CL,1570163180
97,Sao Gabriel da Cachoeira,2012815,54.11,-9.15,285.93,92,100,9.83,IE,1570163376
98,Sao Gabriel da Cachoeira,9525,-33.86,121.89,290.15,82,90,4.6,AU,1570163378
99,Sao Gabriel da Cachoeira,858,63.59,-135.9,274.15,80,20,1.5,CA,1570163379
100,Sao Gabriel da Cachoeira,8586,5.66,-67.63,298.15,94,75,3.85,CO,1570163381
101,Sao Gabriel da Cachoeira,2453,8.96,38.73,287.15,87,75,3.1,ET,1570163383
102,Sao Gabriel da Cachoeira,9372,5.28,115.24,302.15,74,75,2.1,BN,1570163384
103,Sao Gabriel da Cachoeira,812,50.23,-63.6,274.15,74,75,1.0,CA,1570163386
104,Sao Gabriel da Cachoeira,4240,32.72,-102.64,290.15,100,1,4.6,US,1570163363
105,Sao Gabriel da Cachoeira,1614,68.38,17.6,276.48,80,75,0.5,NO,1570163388
106,Sao Gabriel da Cachoeira,7533,24.47,54.37,304.15,62,0,3.6,AE,1570163389
107,Sao Gabriel da Cachoeira,8512,-42.48,-73.76,279.15,81,90,2.6,CL,1570163391
108,Sao Gabriel da Cachoeira,9337,-8.71,116.27,306.15,43,20,4.1,ID,1570163393
109,Sao Gabriel da Cachoeira,7901,7.04,134.26,304.15,66,75,6.2,PW,1570163394
110,Sao Gabriel da Cachoeira,9174,25.17,75.86,300.15,83,0,0.5,IN,1570163395
111,Sao Gabriel da Cachoeira,9124,6.12,81.12,301.15,83,20,1.5,LK,1570163397
112,Sao Gabriel da Cachoeira,6385,45.29,14.65,287.04,47,0,3.6,HR,1570163398
113,Sao Gabriel da Cachoeira,2000217,-46.28,169.85,290.93,39,100,6.26,NZ,1570163400
114,Sao Gabriel da Cachoeira,1912,-33.02,27.91,289.15,87,75,2.6,ZA,1570163402
115,Sao Gabriel da Cachoeira,951,65.28,-126.83,276.15,93,75,3.1,CA,1570163404
116,Sao Gabriel da Cachoeira,8043,38.69,141.2,295.15,88,75,8.2,JP,1570163405
117,Sao Gabriel da Cachoeira,2011895,-37.88,147.99,293.15,53,100,2.24,AU,1570163407
118,Sao Gabriel da Cachoeira,861,45.63,-73.98,279.82,93,90,2.1,CA,1570163408
